Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
MALT1,MALT1 Paracaspase,Protein Coding,50,GC18P058671,3.080561876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MALT1
SLCO2A1,Solute Carrier Organic Anion Transporter Family Member 2A1,Protein Coding,45,GC03M133932,3.080561876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLCO2A1
NDUFAF1,NADH:Ubiquinone Oxidoreductase Complex Assembly Factor 1,Protein Coding,44,GC15M041387,3.080561876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFAF1
IFT122,Intraflagellar Transport 122,Protein Coding,42,GC03P134602,3.080561876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT122
ASXL2,ASXL Transcriptional Regulator 2,Protein Coding,40,GC02M025733,3.080561876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASXL2
TRMT10A,TRNA Methyltransferase 10A,Protein Coding,39,GC04M099546,3.080561876,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRMT10A
RIGI,RNA Sensor RIG-I,Protein Coding,48,GC09M032458,3.057170868,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RIGI
SBDS,SBDS Ribosome Maturation Factor,Protein Coding,45,GC07M066987,3.047404051,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SBDS
ADAMTS2,ADAM Metallopeptidase With Thrombospondin Type 1 Motif 2,Protein Coding,47,GC05M179110,3.045711279,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS2
LIFR,LIF Receptor Subunit Alpha,Protein Coding,49,GC05M038475,3.02806139,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIFR
HLA-A,"Major Histocompatibility Complex, Class I, A",Protein Coding,48,GC06P087685,3.01066947,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-A
ELANE,"Elastase, Neutrophil Expressed",Protein Coding,53,GC19P003232,3.009674072,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELANE
FGF8,Fibroblast Growth Factor 8,Protein Coding,50,GC10M101770,3.007066011,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF8
IL2RA,Interleukin 2 Receptor Subunit Alpha,Protein Coding,54,GC10M006010,2.982234001,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA
NPAP1,Nuclear Pore Associated Protein 1,Protein Coding,33,GC15P024675,2.969705582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPAP1
PWRN1,Prader-Willi Region Non-Protein Coding RNA 1,RNA Gene,21,GC15P045550,2.969705582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWRN1
SIM1,SIM BHLH Transcription Factor 1,Protein Coding,43,GC06M100386,2.95154357,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIM1
FAT4,FAT Atypical Cadherin 4,Protein Coding,43,GC04P125315,2.942414284,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAT4
PYGL,Glycogen Phosphorylase L,Protein Coding,50,GC14M050857,2.928441763,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PYGL
COL7A1,Collagen Type VII Alpha 1 Chain,Protein Coding,47,GC03M048564,2.928441763,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL7A1
POMC,Proopiomelanocortin,Protein Coding,51,GC02M025160,2.882987261,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POMC
TNFSF15,TNF Superfamily Member 15,Protein Coding,46,GC09M114784,2.882195473,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF15
PROKR2,Prokineticin Receptor 2,Protein Coding,47,GC20M005423,2.868082047,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROKR2
WDR11,WD Repeat Domain 11,Protein Coding,42,GC10P120851,2.868082047,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR11
FKBP6,FKBP Prolyl Isomerase Family Member 6 (Inactive),Protein Coding,40,GC07P073328,2.868082047,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP6
TMEM165,Transmembrane Protein 165,Protein Coding,42,GC04P055395,2.844705582,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM165
STX1A,Syntaxin 1A,Protein Coding,51,GC07M073700,2.842794418,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX1A
GPAA1,Glycosylphosphatidylinositol Anchor Attachment 1,Protein Coding,44,GC08P144082,2.828821898,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPAA1
UROS,Uroporphyrinogen III Synthase,Protein Coding,44,GC10M125784,2.828821898,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UROS
LOC107133510,Origin Of Replication At HBB,Biological Region,4,GC11P005222,2.814244747,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC107133510
HSPG2,Heparan Sulfate Proteoglycan 2,Protein Coding,51,GC01M021822,2.800322294,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPG2
WFS1,Wolframin ER Transmembrane Glycoprotein,Protein Coding,49,GC04P006260,2.79709053,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WFS1
GK,Glycerol Kinase,Protein Coding,48,GC0XP031038,2.784346104,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GK
NGLY1,N-Glycanase 1,Protein Coding,45,GC03M025718,2.784346104,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NGLY1
SNORD116@,"Small Nucleolar RNA, C/D Box 116 Cluster",Gene Cluster,8,GC15P025051,2.782581806,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD116%40
LOC106099062,HBB Recombination Region,Biological Region,4,GC11P005411,2.782581806,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC106099062
UBE2S,Ubiquitin Conjugating Enzyme E2 S,Protein Coding,44,GC19M055399,2.774498463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2S
UBE2K,Ubiquitin Conjugating Enzyme E2 K,Protein Coding,43,GC04P039700,2.774498463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBE2K
ADAT1,Adenosine Deaminase TRNA Specific 1,Protein Coding,41,GC16M075596,2.774498463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAT1
SFMBT1,Scm Like With Four Mbt Domains 1,Protein Coding,39,GC03M052959,2.774498463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFMBT1
PRPF38A,Pre-MRNA Processing Factor 38A,Protein Coding,37,GC01P052404,2.774498463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRPF38A
CACTIN,"Cactin, Spliceosome C Complex Subunit",Protein Coding,34,GC19M003610,2.774498463,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACTIN
SLC40A1,Solute Carrier Family 40 Member 1,Protein Coding,48,GC02M189560,2.763523817,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC40A1
GLB1,Galactosidase Beta 1,Protein Coding,51,GC03M032963,2.745085716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLB1
GALNS,Galactosamine (N-Acetyl)-6-Sulfatase,Protein Coding,50,GC16M088813,2.745085716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GALNS
PCCA,Propionyl-CoA Carboxylase Subunit Alpha,Protein Coding,50,GC13P100089,2.745085716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCCA
IL12RB1,Interleukin 12 Receptor Subunit Beta 1,Protein Coding,48,GC19M018058,2.745085716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12RB1
POU2AF1,POU Class 2 Homeobox Associating Factor 1,Protein Coding,42,GC11M111352,2.745085716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POU2AF1
WDR35,WD Repeat Domain 35,Protein Coding,42,GC02M019910,2.745085716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WDR35
PRDM5,PR/SET Domain 5,Protein Coding,41,GC04M120686,2.745085716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM5
ZNF469,Zinc Finger Protein 469,Protein Coding,34,GC16P088101,2.745085716,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZNF469
LOC110006319,Beta-Globin Gene 3' Regulatory Region,Biological Region,4,GC11P005223,2.741317987,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110006319
ERCC2,"ERCC Excision Repair 2, TFIIH Core Complex Helicase Subunit",Protein Coding,50,GC19M045349,2.721671343,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC2
PPIB,Peptidylprolyl Isomerase B,Protein Coding,54,GC15M064155,2.716819525,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPIB
FKBP14,FKBP Prolyl Isomerase 14,Protein Coding,43,GC07M030685,2.676037312,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FKBP14
HERC2,HECT And RLD Domain Containing E3 Ubiquitin Protein Ligase 2,Protein Coding,48,GC15M028111,2.673429012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HERC2
CAVIN1,Caveolae Associated Protein 1,Protein Coding,43,GC17M049471,2.673429012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAVIN1
IPW,Imprinted In Prader-Willi Syndrome,RNA Gene,18,GC15P025116,2.673429012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IPW
PWAR1,Prader Willi/Angelman Region RNA 1,RNA Gene,16,GC15P025135,2.673429012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PWAR1
SNORD115-1,"Small Nucleolar RNA, C/D Box 115-1",RNA Gene,16,GC15P043969,2.673429012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD115-1
SNORD116-1,"Small Nucleolar RNA, C/D Box 116-1",RNA Gene,16,GC15P043959,2.673429012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD116-1
MKRN3-AS1,MKRN3 Antisense RNA 1,RNA Gene,7,GC15U901326,2.673429012,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MKRN3-AS1
JAG1,Jagged Canonical Notch Ligand 1,Protein Coding,54,GC20M010637,2.667009115,https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG1
TREM2,Triggering Receptor Expressed On Myeloid Cells 2,Protein Coding,47,GC06M069402,2.660135746,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREM2
MECOM,MDS1 And EVI1 Complex Locus,Protein Coding,50,GC03M169083,2.637030602,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MECOM
LAMB3,Laminin Subunit Beta 3,Protein Coding,48,GC01M209614,2.62135601,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMB3
DMRT1,Doublesex And Mab-3 Related Transcription Factor 1,Protein Coding,44,GC09P000831,2.618819475,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMRT1
STN1,STN1 Subunit Of CST Complex,Protein Coding,41,GC10M103865,2.598949671,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STN1
LAMC2,Laminin Subunit Gamma 2,Protein Coding,50,GC01P183186,2.589693069,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMC2
LAMA3,Laminin Subunit Alpha 3,Protein Coding,48,GC18P023689,2.589693069,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA3
CTDP1,CTD Phosphatase Subunit 1,Protein Coding,44,GC18P079679,2.589693069,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTDP1
MMACHC,Metabolism Of Cobalamin Associated C,Protein Coding,45,GC01P045500,2.567722797,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMACHC
MACROD2,Mono-ADP Ribosylhydrolase 2,Protein Coding,36,GC20P013925,2.566806555,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MACROD2
CBL,Cbl Proto-Oncogene,Protein Coding,54,GC11P119206,2.548429251,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBL
LMX1B,LIM Homeobox Transcription Factor 1 Beta,Protein Coding,46,GC09P126614,2.548429251,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMX1B
MCM9,Minichromosome Maintenance 9 Homologous Recombination Repair Factor,Protein Coding,41,GC06M118813,2.547208786,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM9
LIMK1,LIM Domain Kinase 1,Protein Coding,51,GC07P074082,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIMK1
NCF1,Neutrophil Cytosolic Factor 1,Protein Coding,50,GC07P075854,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCF1
RFC2,Replication Factor C Subunit 2,Protein Coding,47,GC07M074231,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RFC2
ADAMTSL2,ADAMTS Like 2,Protein Coding,44,GC09P134395,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTSL2
EIF4H,Eukaryotic Translation Initiation Factor 4H,Protein Coding,44,GC07P074174,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF4H
GTF2I,General Transcription Factor IIi,Protein Coding,44,GC07P075846,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2I
GTF2IRD1,GTF2I Repeat Domain Containing 1,Protein Coding,44,GC07P075830,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2IRD1
PIGT,Phosphatidylinositol Glycan Anchor Biosynthesis Class T,Protein Coding,44,GC20P045416,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIGT
BAZ1B,Bromodomain Adjacent To Zinc Finger Domain 1B,Protein Coding,43,GC07M073440,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BAZ1B
TBL2,Transducin Beta Like 2,Protein Coding,43,GC07M073619,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBL2
CLIP2,CAP-Gly Domain Containing Linker Protein 2,Protein Coding,42,GC07P074289,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLIP2
BUD23,BUD23 RRNA Methyltransferase And Ribosome Maturation Factor,Protein Coding,40,GC07P075790,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BUD23
BCL7B,BAF Chromatin Remodeling Complex Subunit BCL7B,Protein Coding,39,GC07M073536,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCL7B
DNAJC30,DnaJ Heat Shock Protein Family (Hsp40) Member C30,Protein Coding,38,GC07M073680,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAJC30
GTF2IRD2,GTF2I Repeat Domain Containing 2,Protein Coding,35,GC07M074796,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GTF2IRD2
METTL27,Methyltransferase Like 27,Protein Coding,34,GC07M073992,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=METTL27
VPS37D,VPS37D Subunit Of ESCRT-I,Protein Coding,34,GC07P075788,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS37D
TMEM270,Transmembrane Protein 270,Protein Coding,31,GC07P075809,2.532545328,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM270
TFR2,Transferrin Receptor 2,Protein Coding,48,GC07M100620,2.523216009,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFR2
APBB1,Amyloid Beta Precursor Protein Binding Family B Member 1,Protein Coding,47,GC11M006791,2.508450508,https://www.genecards.org/cgi-bin/carddisp.pl?gene=APBB1
OFD1,OFD1 Centriole And Centriolar Satellite Protein,Protein Coding,44,GC0XP013714,2.469505072,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OFD1
RRM2B,Ribonucleotide Reductase Regulatory TP53 Inducible Subunit M2B,Protein Coding,51,GC08M102204,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RRM2B
RUNX1,RUNX Family Transcription Factor 1,Protein Coding,51,GC21M034787,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUNX1
SLC25A4,Solute Carrier Family 25 Member 4,Protein Coding,51,GC04P185143,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A4
PCCB,Propionyl-CoA Carboxylase Subunit Beta,Protein Coding,50,GC03P136250,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCCB
CTBP1,C-Terminal Binding Protein 1,Protein Coding,49,GC04M001211,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP1
IRF5,Interferon Regulatory Factor 5,Protein Coding,49,GC07P128937,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF5
ABCC9,ATP Binding Cassette Subfamily C Member 9,Protein Coding,48,GC12M021797,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC9
KCNJ8,Potassium Inwardly Rectifying Channel Subfamily J Member 8,Protein Coding,48,GC12M021764,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNJ8
POLD1,"DNA Polymerase Delta 1, Catalytic Subunit",Protein Coding,48,GC19P070251,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLD1
WWOX,WW Domain Containing Oxidoreductase,Protein Coding,48,GC16P078099,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=WWOX
CANT1,Calcium Activated Nucleotidase 1,Protein Coding,47,GC17M078992,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CANT1
DPAGT1,Dolichyl-Phosphate N-Acetylglucosaminephosphotransferase 1,Protein Coding,47,GC11M119256,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPAGT1
IL12A,Interleukin 12A,Protein Coding,46,GC03P159988,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12A
RPL10,Ribosomal Protein L10,Protein Coding,46,GC0XP154389,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL10
LETM1,Leucine Zipper And EF-Hand Containing Transmembrane Protein 1,Protein Coding,45,GC04M001811,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LETM1
MED12,Mediator Complex Subunit 12,Protein Coding,45,GC0XP071118,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MED12
NFIX,Nuclear Factor I X,Protein Coding,45,GC19P014512,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFIX
SLC25A19,Solute Carrier Family 25 Member 19,Protein Coding,45,GC17M075273,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A19
CPLX1,Complexin 1,Protein Coding,44,GC04M000784,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPLX1
NSD2,Nuclear Receptor Binding SET Domain Protein 2,Protein Coding,44,GC04P001872,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSD2
POLG2,"DNA Polymerase Gamma 2, Accessory Subunit",Protein Coding,43,GC17M064477,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLG2
SC5D,Sterol-C5-Desaturase,Protein Coding,43,GC11P121292,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SC5D
TNPO3,Transportin 3,Protein Coding,43,GC07M128954,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNPO3
VPS53,VPS53 Subunit Of GARP Complex,Protein Coding,43,GC17M000508,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VPS53
PEX12,Peroxisomal Biogenesis Factor 12,Protein Coding,42,GC17M035574,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PEX12
VAMP7,Vesicle Associated Membrane Protein 7,Protein Coding,42,GC0XP155881,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=VAMP7
PIGG,Phosphatidylinositol Glycan Anchor Biosynthesis Class G,Protein Coding,41,GC04P000837,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIGG
SPIB,Spi-B Transcription Factor,Protein Coding,41,GC19P050418,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPIB
IFT43,Intraflagellar Transport 43,Protein Coding,40,GC14P075902,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT43
NELFA,Negative Elongation Factor Complex Member A,Protein Coding,39,GC04M002457,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NELFA
IFT52,Intraflagellar Transport 52,Protein Coding,37,GC20P043590,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT52
RNU7-1,"RNA, U7 Small Nuclear 1",RNA Gene,18,GC12P022387,2.448809385,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNU7-1
MPL,"MPL Proto-Oncogene, Thrombopoietin Receptor",Protein Coding,50,GC01P043337,2.428738832,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPL
SEPSECS,Sep (O-Phosphoserine) TRNA:Sec (Selenocysteine) TRNA Synthase,Protein Coding,47,GC04M025121,2.418703794,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEPSECS
TRPV4,Transient Receptor Potential Cation Channel Subfamily V Member 4,Protein Coding,51,GC12M109783,2.417423725,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV4
CALR,Calreticulin,Protein Coding,54,GC19P012938,2.395988464,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALR
SCG2,Secretogranin II,Protein Coding,42,GC02M223596,2.365492105,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCG2
CGA,"Glycoprotein Hormones, Alpha Polypeptide",Protein Coding,47,GC06M087085,2.342004299,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGA
CD79A,CD79a Molecule,Protein Coding,50,GC19P041877,2.312099457,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A
ERCC5,"ERCC Excision Repair 5, Endonuclease",Protein Coding,47,GC13P102845,2.295982122,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERCC5
NOD2,Nucleotide Binding Oligomerization Domain Containing 2,Protein Coding,50,GC16P050693,2.292316437,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD2
F2,"Coagulation Factor II, Thrombin",Protein Coding,52,GC11P046720,2.291651249,https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2
HLA-C,"Major Histocompatibility Complex, Class I, C",Protein Coding,47,GC06M069165,2.288710833,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-C
PRDM2,PR/SET Domain 2,Protein Coding,43,GC01P013700,2.279165745,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRDM2
KRAS,"KRAS Proto-Oncogene, GTPase",Protein Coding,54,GC12M025204,2.244166851,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KRAS
POLE,"DNA Polymerase Epsilon, Catalytic Subunit",Protein Coding,50,GC12M132695,2.238877058,https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLE
STX3,Syntaxin 3,Protein Coding,44,GC11P059713,2.238877058,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STX3
NR5A2,Nuclear Receptor Subfamily 5 Group A Member 2,Protein Coding,47,GC01P199996,2.224101782,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR5A2
CYP21A2,Cytochrome P450 Family 21 Subfamily A Member 2,Protein Coding,46,GC06P087764,2.220668793,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP21A2
NSD1,Nuclear Receptor Binding SET Domain Protein 1,Protein Coding,47,GC05P177522,2.215923786,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NSD1
TF,Transferrin,Protein Coding,53,GC03P134678,2.202555895,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF
NBAS,NBAS Subunit Of NRZ Tethering Complex,Protein Coding,43,GC02M014787,2.19282198,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NBAS
SPP2,Secreted Phosphoprotein 2,Protein Coding,36,GC02P234050,2.190865993,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPP2
H19,H19 Imprinted Maternally Expressed Transcript,RNA Gene,30,GC11M001995,2.188164234,https://www.genecards.org/cgi-bin/carddisp.pl?gene=H19
TMCO1,Transmembrane And Coiled-Coil Domains 1,Protein Coding,41,GC01M165724,2.180101395,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMCO1
CHST3,Carbohydrate Sulfotransferase 3,Protein Coding,47,GC10P071964,2.172469378,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHST3
CLASP1,Cytoplasmic Linker Associated Protein 1,Protein Coding,44,GC02M121337,2.156937599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLASP1
IFT140,Intraflagellar Transport 140,Protein Coding,43,GC16M007518,2.156937599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFT140
PGBD3,PiggyBac Transposable Element Derived 3,Protein Coding,28,GC10M049517,2.156937599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PGBD3
HFE-AS1,HFE Antisense RNA 1,RNA Gene,11,GC06M026085,2.156937599,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HFE-AS1
FRAXA,"Fragile Site, Folic Acid Type, Rare, Fra(X)(Q27.3) A",Biological Region,8,GC0XP147954,2.148438692,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRAXA
TBC1D8,TBC1 Domain Family Member 8,Protein Coding,37,GC02M101007,2.136161566,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TBC1D8
THPO,Thrombopoietin,Protein Coding,48,GC03M184371,2.132462502,https://www.genecards.org/cgi-bin/carddisp.pl?gene=THPO
ARSB,Arylsulfatase B,Protein Coding,49,GC05M078777,2.114110947,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSB
AMER1,APC Membrane Recruitment Protein 1,Protein Coding,38,GC0XM064185,2.109432459,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AMER1
GBA1,Glucosylceramidase Beta 1,Protein Coding,50,GC01M155318,2.106725454,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA1
GSTM1,Glutathione S-Transferase Mu 1,Protein Coding,44,GC01P109687,2.093613863,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GSTM1
TRAPPC11,Trafficking Protein Particle Complex Subunit 11,Protein Coding,38,GC04P183659,2.093202114,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRAPPC11
FLNB,Filamin B,Protein Coding,50,GC03P058008,2.06875062,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLNB
SLC19A2,Solute Carrier Family 19 Member 2,Protein Coding,47,GC01M169463,2.058335066,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC19A2
HP,Haptoglobin,Protein Coding,48,GC16P072191,2.038039207,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP
FSHB,Follicle Stimulating Hormone Subunit Beta,Protein Coding,49,GC11P030210,2.035650015,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FSHB
TRPV6,Transient Receptor Potential Cation Channel Subfamily V Member 6,Protein Coding,50,GC07M142871,2.016193151,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV6
DHH,Desert Hedgehog Signaling Molecule,Protein Coding,43,GC12M049783,2.007555008,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHH
INSR,Insulin Receptor,Protein Coding,56,GC19M007112,2.007551432,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INSR
NR1I2,Nuclear Receptor Subfamily 1 Group I Member 2,Protein Coding,47,GC03P119780,1.999032974,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR1I2
OSBPL1A,Oxysterol Binding Protein Like 1A,Protein Coding,41,GC18M024162,1.998207808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSBPL1A
DOK6,Docking Protein 6,Protein Coding,39,GC18P069401,1.998207808,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DOK6
